BRFS,11.23999977,11.35999966,11.18756676,11.18999958,11.48999977,1889700,27/01/2016
AMSWA,1.843700051,1.843700051,0.870636404,1.8125,1.875,92900,15/12/2000
RRC,3.166670084,3.333329916,3.154380322,3.166670084,3.375,419400,09/06/1999
GTT,4.25,4.300000191,4.300000191,4.239999771,4.329999924,9100,06/09/2013
VIAV,1.955346942,2.026450396,2.026450396,1.955346942,2.026450396,24600,27/01/1995
MHF,9,9.125,1.642783284,9,9.125,54400,01/11/1990
EGHT,2.25,2.089999914,2.089999914,1.980000019,2.279999971,1692900,28/09/2010
GTN,17.10000038,17.09000015,17.09000015,17.06999969,17.39999962,1531700,15/07/2015
CCNE,9.5,9.5,3.510291576,9.300000191,9.5,5200,18/02/2000
VIAV,38.08873749,39.49943161,39.49943161,37.86120605,41.09215164,7876100,31/12/2001
AMSWA,7,7,3.305557251,6.5,7,65200,28/01/1997
GTN,13.39000034,13.48999977,10.88992596,13.28999996,13.5,194900,09/12/2003
RRC,45.81999969,45.88999939,44.6264534,44.77999878,46.18999863,2660900,28/07/2009
MHF,9.875,9.75,2.079787731,9.75,9.875,18300,02/02/1993
ISTR,15.81999969,15.73999977,15.60613441,15.65999985,15.88000011,1700,10/08/2016
RRC,11.83333015,11.93332958,11.40101433,11.83333015,12.16666985,666000,05/10/2004
AAPL,25.11714363,25.25571442,16.97182274,25.08142853,25.3571434,109902800,22/08/2008
AMSWA,4.444444656,4.444444656,1.685465455,4.444444656,4.54321003,43300,07/11/1983
MHD,14.31999969,14.22000027,4.625397682,14.19999981,14.38000011,20100,16/10/2001
CLWT,17.93000031,18.09499931,18.09499931,17.76499939,18.92000008,11300,14/11/2005
RRD,4.1875,4.125,0.931019425,4.125,4.1875,76800,11/12/1980
AAPL,6.222856998,6.092857361,4.094396591,6.037142754,6.340000153,140520100,29/07/2005
OXLC,13.60000038,13.55000019,4.359818935,13.40999985,13.60000038,12300,16/12/2011
MHF,8.375,8.25,2.002424955,8.25,8.5,18900,26/10/1994
AMSWA,6.555555344,6.611111164,2.544384718,6.555555344,6.666666508,58500,14/07/1987
